[1.3367497896016294,59]
[1.833739348980656,78]
[2.395099162874055,46]
[2.516704193980691,48]
[2.6294105803392513,21]
[2.632014437650371,80]
[2.9332916663707347,67]
[3.2736829412757738,77]
[3.399955882066707,74]
[3.458641351744931,71]
[3.458930470535654,72]
[3.4952825350749546,79]
[3.501685308533592,23]
[3.507392193639029,96]
[3.6328225940719983,31]
[3.742018172056357,100]
[3.77916657478868,125]
[3.8657082145449104,101]
[3.9706044879841658,73]
[4.089694365108474,137]
[4.13254159083729,118]
[4.29,82]
[4.30568229204153,54]
[4.468791783021446,36]
[4.469910513645659,95]
[4.507393925540567,81]
[4.528862991966085,111]
[4.686587244466916,44]
[4.6993297394415725,130]
[4.700776531595604,83]
[4.7197881308380785,69]
[4.722774608214963,65]
[4.7306870536952665,102]
[4.828767958806884,14]
[4.909195453432263,45]
[4.979819273829122,140]
[5.026390354916737,66]
[5.076435757497578,86]
[5.218151013529601,49]
[5.233306793987908,35]
[5.303489417355332,1]
[5.330975520484032,112]
[5.364932432006949,19]
[5.490673911279015,114]
[5.614320974080481,68]
[5.642339940131222,110]
[5.703121952053981,70]
[5.74231660569147,60]
[5.804282901444416,122]
[5.813260702910201,87]
[5.8814113952349905,29]
[5.936909970683403,84]
